migrationId,migrationStatus,pullRequestUrl,checkRunsSummary
io.jenkins.tools.pluginmodernizer.UpgradeToLatestJava11CoreVersion,fail,,
io.jenkins.tools.pluginmodernizer.UpgradeNextMajorParentVersion,fail,,
